id,estimate,choice,age,gender,cond,cond_num
R_1jjEPsf9vgDHouX,50,Option B,43,Male,1 year,365
R_2WJ7hAX8P5ie9Q6,20,Option B,30,Male,6 months,182.5
R_2fCLa0VRsqguu57,20,Option A,28,Female,6 months,182.5
R_vcXESMyOwBYFph7,100,Option A,35,Male,1 year,365
R_3NKWOEAM5ltn91c,15,Option B,53,Male,2 weeks,14
R_3M9HBST0kjcmZ6m,25,Option B,22,Female,2 weeks,14
R_3npcxoWL15sywlj,20,Option B,51,Female,1 year,365
R_3344EjonOXoh1px,100,Option B,23,Female,1 month,30.41666667
R_3Eg9ZCbpN8ZQBJf,20,Option A,39,Male,1 year,365
R_31tLF1GPLGKEiiJ,11,Option B,44,Male,1 day,1
R_XAhf6oS0ECO0dwd,20,Option B,27,Male,2 weeks,14
R_3Jq7WfPXFfs9Vhe,15,Option B,34,Male,2 weeks,14
R_2S76KXZyHPkHIVe,10,Option A,35,Female,1 week,7
R_3jdF9ZU0DNFYBYt,50,Option B,27,Female,6 months,182.5
R_Zs0kcHWCjQV1DFf,15,Option B,56,Female,1 week,7
R_1QMhp8At7vbj8e9,15,Option B,47,Male,1 year,365
R_3kNC87aeCIBKKYe,15,Option A,36,Female,1 month,30.41666667
R_5tKuSXFYpk9lBWp,20,Option B,50,Female,1 day,1
R_Qan9DSa18WBSNbj,15,Option B,22,Male,6 months,182.5
R_3ozHMOCowfPlzii,7,Option A,31,Male,1 day,1
R_3QEkvNNa5xE83WO,20,Option A,26,Male,1 month,30.41666667
R_3pi3rgXLWd2uduu,20,Option B,56,Male,6 months,182.5
R_3qkd1giZrub2MyY,100,Option B,47,Female,1 week,7
R_33eD4UsF3Fdv45i,20,Option A,27,Male,6 months,182.5
R_0MR1jcZSCZE3AmR,20,Option A,25,Male,1 year,365
R_3GB1dX5KJkxaHez,11,Option A,23,Female,1 year,365
R_8B5B3CGDequsoSJ,11,Option B,27,Female,1 day,1
R_2X6gY6XnBIyMOSE,12,Option B,26,Male,2 weeks,14
R_bKirUXVVydA3czL,100,Option A,29,Male,1 year,365
R_3PNqdkAvYfrZLC8,12,Option B,39,Female,1 week,7
R_2Cdp5EC1FRWRFRF,10,Option A,59,Male,1 week,7
R_1KpOm0yLKV8hO2i,30,Option A,30,Female,6 months,182.5
R_332WLMayNOchT56,25,Option B,42,Female,2 weeks,14
R_2Cm2QAl5boAfkNq,15,Option B,28,Male,1 month,30.41666667
R_2R3L37d1pX6ahMB,10,Option A,59,Female,1 year,365
R_3RlRBeW6tf5UmIS,3,Option A,26,Female,1 week,7
R_2DMtT66yKPTqIjZ,20,Option B,54,Male,1 day,1
R_8erf8BfeeXNsBDb,11,Option B,34,Male,1 month,30.41666667
R_3IQf4rZvCPyR00v,11,Option B,36,Female,2 weeks,14
R_Wwxdu7mNQlLwIk9,50,Option B,74,Male,6 months,182.5
R_1N4X8KfPIzgKGCD,15,Option B,27,Male,1 day,1
R_1rB91dY3ezM6znR,15,Option B,39,Female,1 month,30.41666667
R_3KW6AvkIu5Ynsuv,11,Option B,32,Male,2 weeks,14
R_WceEOQRvLvKWerL,12,Option B,41,Female,1 day,1
R_2yrBWXwGu76culO,10,Option A,30,Female,1 year,365
R_VXc1HH4RA4alTzj,15,Option A,30,Male,1 day,1
R_28GxfJNpKtXXbdF,12,Option A,42,Female,1 week,7
R_2CkcMJ3oA9cPouv,4,Option A,25,Female,6 months,182.5
R_A6V1N7Cnb7u3uUN,60,Option A,27,Male,6 months,182.5
R_3JfR2yy3QZPZ8MK,20,Option A,23,Male,1 month,30.41666667
R_1gzkarxEGaUkaYk,50,Option B,31,Female,1 year,365
R_1MsY7UTb07e43ZL,14,Option A,29,Male,2 weeks,14
R_1GZbHQKCoMgKM00,12,Option B,24,Male,1 day,1
R_1cSsZXXXdDLuKCF,15,Option B,27,Male,1 day,1
R_2rIV0cFvmOlnHZi,20,Option A,53,Female,6 months,182.5
R_1eFAyzKSEdgZmeZ,100,Option B,34,Female,1 month,30.41666667
R_1Lvx9fg9zEY5FGI,15,Option B,29,Female,2 weeks,14
R_CafFTsES16MwDlL,20,Option B,25,Male,1 week,7
R_2ONlOf10GmWYcaz,11,Option B,51,Male,1 day,1
R_0kSvr6UNKqJQt45,20,Option B,50,Female,1 week,7
R_3PN18MkW3j2ihtT,100,Option B,30,Male,1 year,365
R_263FjuTKFLiaNCv,15,Option A,26,Female,1 month,30.41666667
R_1Fh1vwIl6pLJQNW,20,Option A,30,Male,6 months,182.5
R_3pul1mmK3AFxBcR,12,Option B,36,Male,2 weeks,14
R_QbjooOBTTQUtqj7,12,Option B,28,Male,1 day,1
R_2aLJsMVIHPYPmZt,12,Option B,25,Male,6 months,182.5
R_3fCthg4BoRLLvqv,20,Option B,60,Female,1 year,365
R_4UVKhI5SctgLst3,20,Option B,35,Male,2 weeks,14
R_2wtuZYUIv1Si5Yq,10000,Option B,31,Female,1 year,365
R_214ELqAgKVCp26l,70,Option B,40,Male,1 week,7
R_bILlHz9eKflA91L,20,Option B,56,Female,6 months,182.5
R_25GtUVswDYHLHCW,60,Option B,22,Male,6 months,182.5
R_3r09E2h9yK5W0je,20,Option A,29,Male,1 year,365
R_1LRqBqdO3gskLhX,25,Option B,58,Male,1 day,1
R_1lsEx4aQxvSbSOB,35,Option B,23,Male,6 months,182.5
R_yQr0RAXFwMiMrwl,100,Option B,30,Male,6 months,182.5
R_9YStyxoQwZDqadj,20,Option B,21,Female,1 month,30.41666667
R_BJstlKShiEgq5JT,20,Option B,24,Female,1 week,7
R_2SCZW8yqEaHixRu,15,Option A,36,Female,1 year,365
R_2bUG0cdFHkxmG3w,20,Option A,37,Male,6 months,182.5
R_poeRgqOxpllfKMh,15,Option A,24,Male,2 weeks,14
R_1eV1L25HX7fDnmA,20,Option B,27,Male,1 month,30.41666667
R_3LYM0UmVzPnW75P,50,Option A,33,Female,1 year,365
R_ToWubfPUzHOF8xb,15,Option B,66,Male,1 week,7
R_POmXDpWesesTsnn,15,Option B,73,Male,1 month,30.41666667
R_bro1vXMwdh0co9j,12,Option A,29,Male,1 week,7
R_2nxuOWZ4rSMKSgp,20,Option B,36,Female,2 weeks,14
R_1LXAmtzETj4Va5X,15,Option A,47,Male,6 months,182.5
R_1LFDQufev15rJZ8,15,Option A,34,Female,1 month,30.41666667
