subid,age_group,indif_point,force_lvl,cond_domain
15,ya,7,3,reward
15,ya,9.64048447451666,4,reward
15,ya,6.96252141011846,5,reward
15,ya,12.499954309386,6,reward
15,ya,5,1,punish
15,ya,5.98560343484687,2,punish
15,ya,6.49709475287828,3,punish
15,ya,6.99994206971734,4,punish
15,ya,7.11702923053019,5,punish
15,ya,7.00311877767732,6,punish
16,ya,2.56724428306333,1,reward
16,ya,6.4999713732561,2,reward
16,ya,13.4779745264268,3,reward
16,ya,19.5854879225315,4,reward
16,ya,28,5,reward
16,ya,58.7729806984431,6,reward
16,ya,3,1,punish
16,ya,3,2,punish
16,ya,2.23142863774332,3,punish
16,ya,11.5,4,punish
16,ya,15.25,5,punish
16,ya,22.9129327488837,6,punish
17,ya,3,1,reward
17,ya,2.68141033002843,2,reward
17,ya,7,3,reward
17,ya,15.9138797731615,4,reward
17,ya,23.980017619227,5,reward
17,ya,29.9916076203084,6,reward
17,ya,3,1,punish
17,ya,3,2,punish
17,ya,3,3,punish
17,ya,10.0000032059266,4,punish
17,ya,20.5005327412626,5,punish
17,ya,28,6,punish
18,ya,6.00032591799154,1,reward
18,ya,8.99630194595193,2,reward
18,ya,12.4866643243392,3,reward
18,ya,17.990950053074,4,reward
18,ya,20.9859882971672,5,reward
18,ya,24.6365621012817,6,reward
18,ya,6.00276120468357,1,punish
18,ya,9.88097603868236,2,punish
18,ya,10.9907069073444,3,punish
18,ya,15.9947290621254,4,punish
18,ya,19.4999916206507,5,punish
18,ya,24.612646523938,6,punish
19,ya,2.59680896371439,1,reward
19,ya,3.03582025287855,2,reward
19,ya,7.49998653220817,3,reward
19,ya,10.9859804389772,4,reward
19,ya,24.0050500710953,5,reward
19,ya,34.3694381108701,6,reward
19,ya,2.14786574346612,1,punish
19,ya,2.67486403278089,2,punish
19,ya,7,3,punish
19,ya,9.99999999997758,4,punish
19,ya,17.0399224978854,5,punish
19,ya,17.9546760339819,6,punish
20,ya,4.00505063374787,1,reward
20,ya,3.61598836894074,2,reward
20,ya,2.6525754101763,3,reward
20,ya,7.00000000000659,4,reward
20,ya,12.1654719870057,5,reward
20,ya,12.4972165418745,6,reward
20,ya,2.920721627817,1,punish
20,ya,5.25,2,punish
20,ya,6.97116855625678,3,punish
20,ya,5.01884621575921,4,punish
20,ya,7.77788934366684,5,punish
20,ya,11.734506667225,6,punish
21,ya,2.51868037368346,1,reward
21,ya,8,2,reward
21,ya,9.24887159882624,3,reward
21,ya,17.7277053321946,4,reward
21,ya,27.9352991013208,5,reward
21,ya,40.0151478016807,6,reward
21,ya,3,1,punish
21,ya,3,2,punish
21,ya,3,3,punish
21,ya,9.98186654000198,4,punish
21,ya,11.014801218534,5,punish
21,ya,22.5135882666243,6,punish
22,ya,3,1,reward
22,ya,2.74438203261856,2,reward
22,ya,2.23142863774332,3,reward
22,ya,16.4999994835122,4,reward
22,ya,8.32139209534728,5,reward
22,ya,43.0613766673813,6,reward
